url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,genres,awards
https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises,The Sun Also Rises (Fiesta),Ernest Hemingway,"13,368","375,537",3.82,189,1926,"['Classics', 'Fiction', 'Literature']",
https://www.goodreads.com/book/show/338798.Ulysses,Ulysses,"James Joyce, ","7,112","114,888",3.73,783,1922,"['Classics', 'Fiction', 'Literature']",Национална награда „Христо Г. Данов“ for Преводна художествена литература (2004)
https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front,All Quiet on the Western Front,"Erich Maria Remarque, ","11,117","367,365",3.99,296,1929,"['Classics', 'Fiction', 'Historical']",Luisterboek Award Nominee (2015)
https://www.goodreads.com/book/show/6149.Beloved,Beloved,Toni Morrison,"13,856","342,783",3.88,324,1987,"['Fiction', 'Classics', 'Historical']","Pulitzer Prize for Fiction (1988), American Book Award (1988), Anisfield-Wolf Book Award (1988), National Book Critics Circle Award Nominee for Fiction (1987), Frederic G. Melcher Book Award (1988)...moreNational Book Award Finalist for Fiction (1987)...less "
https://www.goodreads.com/book/show/1078.The_Good_Earth,The Good Earth,"Pearl S. Buck, ","10,179","228,029",3.99,418,1931,"['Classics', 'Fiction', 'Historical']","Pulitzer Prize for Novel (1932), William Dean Howells Medal (1935)"
https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces,A Confederacy of Dunces,"John Kennedy Toole, ","15,589","239,689",3.88,394,1980,"['Fiction', 'Classics', 'Humor']","Pulitzer Prize for Fiction (1981), PEN/Faulkner Award for Fiction Nominee (1981), Los Angeles Times Book Prize Nominee for Fiction (1980)"
https://www.goodreads.com/book/show/252577.Angela_s_Ashes,Angela's Ashes,Frank McCourt,"12,287","559,129",4.12,452,1996,"['Nonfiction', 'Autobiography', 'Memoir']","Pulitzer Prize for Biography or Autobiography (1997), American Booksellers Book Of The Year  Award for Adult Trade (1997), Audie Award for Nonfiction, Abridged (1997), Los Angeles Times Book Prize for Biography (1996), Exclusive Books Boeke Prize (1997)...moreNational Book Critics Circle Award for Biography/Autobiography (1996)...less "
https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club,The Joy Luck Club,Amy Tan (Goodreads Author),"9,693","611,129",3.94,288,1989,"['Fiction', 'Historical', 'Historical Fiction']","California Book Award for Fiction (Gold) (1989), Los Angeles Times Book Prize Nominee for Fiction (1989), Northern California Book Awards for Fiction (1989), National Book Critics Circle Award Nominee for Fiction (1989), National Book Award Finalist for Fiction (1989)"
https://www.goodreads.com/book/show/2122.The_Fountainhead,The Fountainhead,"Ayn Rand, ","12,449","302,666",3.87,704,1943,"['Fiction', 'Classics', 'Philosophy']",
https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury,The Sound and the Fury,William Faulkner,"7,374","162,085",3.86,366,1929,"['Classics', 'Fiction', 'Literature']",
